analysis_id,coassignment_robustness_score,coassignment_robustness_ci_low,coassignment_robustness_ci_high,coassignment_entropy,coassignment_certainty,n_valid_pipeline_assignments,n_valid_pipelines_total,assignment_coverage,n_consensus_neighbors,mean_posterior_uncertainty,median_posterior_uncertainty,n_probabilistic_runs,robustness_quartile
854b835c4459,0.7476243357670405,0.7125474526362897,0.7834989014169799,0.6889664851298399,0.31103351487016007,116,116,1.0,923,0.22380682626855894,0.137791541205188,60,Q3
854d751c7f96,0.7779460345550452,0.7542169656869835,0.8020631264465619,0.582156250167169,0.417843749832831,116,116,1.0,948,0.19731857206729705,0.12926277969986766,60,Q4_high
854f70d2c56a,0.582254165884461,0.5362135501550851,0.6290352625102789,0.8164616171199399,0.18353838288006008,116,116,1.0,434,0.21375654114796855,0.1360776392555722,60,Q2
85ac92085461,0.7903717803162545,0.7661885767610644,0.8160409008192775,0.5649444861171451,0.4350555138828549,92,116,0.7931034482758621,946,0.18176126793240574,0.12926277969986766,48,Q4_high
85ad96acad9e,0.7903717803162545,0.7643098171100002,0.8174314695149858,0.5649444861171451,0.4350555138828549,92,116,0.7931034482758621,946,0.1682406553316261,0.12602570154423964,48,Q4_high
85f32c060421,0.7760717495773866,0.7529712677681063,0.7993293959574819,0.5898108883701689,0.41018911162983107,116,116,1.0,949,0.17417211704541907,0.0859459869124608,60,Q4_high
860405b85a51,0.5404154768323685,0.48567108936416087,0.5870029485999312,0.760035877188458,0.239964122811542,116,116,1.0,405,0.17836159281906436,0.125,60,Q1_low
860c24709bc5,0.7013343840115374,0.6510264296846568,0.7508938858523303,0.7771821062340318,0.22281789376596817,116,116,1.0,919,0.17925230895912947,0.125,60,Q2
864da380b8da,0.7801110797252239,0.756797432838191,0.8025968222085585,0.572726538073073,0.42727346192692695,116,116,1.0,951,0.17924947088940327,0.12602570154423964,60,Q4_high
86b2e3d1ed17,0.5473254801034112,0.49761119399083265,0.5898914786032767,0.8580760324851747,0.14192396751482528,92,116,0.7931034482758621,506,0.17630891935006118,0.12602570154423964,48,Q1_low
86ed033dff57,0.7748351278065104,0.7477579363053876,0.7990129278880409,0.5930348505137659,0.4069651494862341,116,116,1.0,948,0.20482914267052726,0.1298869935936654,60,Q4_high
8701386a8ecb,0.6613868832765029,0.6243934373356396,0.6975344371498381,0.8752552755810555,0.12474472441894446,116,116,1.0,1162,0.17848266990214337,0.125,60,Q2
8708896efdc0,0.6217865432896813,0.5584658919458957,0.6822942229766437,0.8503412109169357,0.1496587890830643,116,116,1.0,875,0.17476726131834977,0.125,60,Q2
870ce6ff6bec,0.524841357859289,0.4691089685015297,0.5809920675641317,0.8642400803932834,0.13575991960671663,116,116,1.0,422,0.20065022236827904,0.12926277969986766,60,Q1_low
8758b9112998,0.7402026732163323,0.7024656872186941,0.7754320708045899,0.6886171250725899,0.3113828749274101,116,116,1.0,939,0.22837697941649637,0.13075619276219785,60,Q3
87607d05000e,0.5625759097104761,0.5024068109149706,0.6226235022719093,0.85810046753721,0.14189953246278997,92,116,0.7931034482758621,442,0.17989328914178648,0.12602570154423964,48,Q1_low
87a671dadd79,0.5455216111538882,0.5019715410543274,0.5871886209719221,0.8724285933333389,0.1275714066666611,116,116,1.0,473,0.20091869352460673,0.1298869935936654,60,Q1_low
87b105ed70c6,0.764428417410969,0.7355503365770383,0.7928037251084747,0.6281013483745137,0.3718986516254863,116,116,1.0,942,0.19294879970223938,0.12602570154423964,60,Q4_high
87e0b56ba652,0.7197023893552874,0.6864685978007602,0.7501732969851083,0.7270233125016854,0.2729766874983146,116,116,1.0,1033,0.18463873662241956,0.125,60,Q3
87e17719b591,0.5777864173730634,0.5267582271105663,0.6290912168662278,0.8112320423274341,0.18876795767256593,116,116,1.0,427,0.18645656761966795,0.12602570154423964,60,Q1_low
882516b12301,0.7555004610380641,0.7055600909591546,0.7970603123148166,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
88534b3a970b,0.7769313977991498,0.7424582824829791,0.8065057820748424,0.6103579993405214,0.3896420006594786,92,116,0.7931034482758621,942,0.16882899180482003,0.12602570154423964,48,Q4_high
8881abe07db8,0.6979048900441822,0.6567233580070018,0.7426239388457385,0.7843337592983054,0.2156662407016946,116,116,1.0,926,0.1911192691856684,0.12804926974154765,60,Q2
888d2cec4116,0.5815276599441135,0.5397946226561211,0.6240160420171518,0.8271798487862388,0.17282015121376115,116,116,1.0,454,0.1836370427484149,0.125,60,Q2
88b9ce31b03e,0.5824398519098918,0.5485409522988095,0.6135570319295153,0.9189267148387219,0.0810732851612781,116,116,1.0,1062,0.19413785253235752,0.12602570154423964,60,Q2
891c44a1582b,0.7903717803162545,0.7642994068485851,0.8151951945398309,0.5649444861171451,0.4350555138828549,92,116,0.7931034482758621,946,0.18519742241441373,0.12926277969986766,48,Q4_high
89446801d542,0.652323036061712,0.6047799834657025,0.6968580778565621,0.8978872515675411,0.10211274843245888,92,116,0.7931034482758621,1181,0.17750576990758418,0.12926277969986766,48,Q2
89ac25141742,0.7346034611260496,0.6911089581171479,0.7847777647292213,0.7311855238103813,0.26881447618961873,92,116,0.7931034482758621,926,0.2066343854410659,0.1331605294190138,48,Q3
89cc417dcd98,0.7555004610380641,0.7083202781948424,0.7974111128411981,0.6444399784457142,0.3555600215542858,92,116,0.7931034482758621,908,0.16825322988405178,0.12602570154423964,48,Q3
89ce38debe35,0.5950833866791763,0.563313749765277,0.627612969587885,0.9108517108101979,0.08914828918980211,116,116,1.0,1082,0.18894964027824143,0.125,60,Q2
8a0268f51447,0.5782928560886634,0.5358295194873914,0.6214273049843047,0.8211937169209227,0.1788062830790773,116,116,1.0,464,0.17963112849993132,0.125,60,Q2
8a2fea65c9f5,0.5421413025377746,0.49008063355461734,0.5937755358469772,0.8726328668010246,0.1273671331989754,116,116,1.0,440,0.20126002587708372,0.1298869935936654,60,Q1_low
8a821dac946e,0.7247634549402545,0.6804997865668447,0.763088711014882,0.732422067446031,0.267577932553969,116,116,1.0,919,0.19777023301714014,0.12804926974154765,60,Q3
8aa8effa78f4,0.7686526368120911,0.7397918463329443,0.79567167564714,0.627751452811708,0.37224854718829203,116,116,1.0,934,0.1901033769599157,0.12602570154423964,60,Q4_high
8aec44220e63,0.561346115774889,0.5074122105576648,0.616663349068505,0.7686363139990118,0.23136368600098822,116,116,1.0,401,0.18602636948134865,0.125,60,Q1_low
8aff0b2e417d,0.5909131940182352,0.5377770718773563,0.642805105092299,0.8163987810600362,0.18360121893996384,92,116,0.7931034482758621,445,0.20612322355895973,0.13075619276219785,48,Q2
8ba05599e31e,0.504780311037716,0.45645104002786413,0.5557071794459939,0.834539466135335,0.16546053386466497,116,116,1.0,429,0.1806925839185939,0.125,60,Q1_low
8bae5cbe12c2,0.7547298213658368,0.7156042325208419,0.7926795967355064,0.67034556292562,0.32965443707438,92,116,0.7931034482758621,930,0.1745977040453606,0.12602570154423964,48,Q3
8bb0471e4d9b,0.7803675411464627,0.7483557923105549,0.8069428665392286,0.5977212669461692,0.4022787330538308,92,116,0.7931034482758621,941,0.16880809675960537,0.12602570154423964,48,Q4_high
8bf397a6ba8b,0.6258663838348424,0.5605480113262644,0.6846866776309778,0.8494365104224869,0.1505634895775131,116,116,1.0,885,0.1701126111458621,0.06700908150624295,60,Q2
8c2cbd4500c3,0.5306407488091641,0.4646785307393503,0.6048679809137416,0.7515570627397704,0.2484429372602296,92,116,0.7931034482758621,390,0.18993019663875976,0.1298869935936654,48,Q1_low
8c36f946fa39,0.5466610652155133,0.5067537554594521,0.5889801756218099,0.8546568842407878,0.14534311575921222,116,116,1.0,506,0.19580139093953025,0.12804926974154765,60,Q1_low
8c42dfba7e2c,0.7801110797252239,0.7553277370043238,0.8016213845955574,0.572726538073073,0.42727346192692695,116,116,1.0,951,0.17084379215341672,0.0706364608262514,60,Q4_high
8c5a917970c0,0.7517537580241801,0.721756385365393,0.7801007021881623,0.6508174444660678,0.3491825555339322,116,116,1.0,986,0.17734638528134222,0.125,60,Q3
8cd8f03b3b76,0.681726537452446,0.6241878738784297,0.7351760176767362,0.8222870579561006,0.17771294204389942,92,116,0.7931034482758621,1001,0.1712701809633668,0.12602570154423964,48,Q2
8d481d463b81,0.6227725630253493,0.548993343634787,0.6926685367718197,0.8620920395056377,0.13790796049436227,92,116,0.7931034482758621,883,0.17806483727664915,0.12804926974154765,48,Q2
8d5c7356c7ae,0.7187455368419644,0.6823748678313644,0.7481672160090956,0.7518797993028944,0.2481202006971056,116,116,1.0,1054,0.20107369091271096,0.12926277969986766,60,Q2
8d6c32d34649,0.543772059050104,0.5125851178950865,0.5736436997592986,0.9370205942197057,0.06297940578029426,116,116,1.0,955,0.23359234160907974,0.1360776392555722,60,Q1_low
8d9047d9e23a,0.7496380526431751,0.7144705952322721,0.7833447587361532,0.6722237217254345,0.32777627827456546,116,116,1.0,935,0.2350935527412875,0.1360776392555722,60,Q3
8dbc7b583363,0.7682654974369612,0.735898672645396,0.7962977819763223,0.6296209484904314,0.3703790515095686,116,116,1.0,928,0.18867796753954955,0.125,60,Q4_high
8de4ac5ba199,0.5373655509284444,0.507555946584044,0.5664091430949454,0.8610013451270004,0.13899865487299956,116,116,1.0,558,0.18029297117313456,0.125,60,Q1_low
8dea7f07dac4,0.7438468722055955,0.7069418010739026,0.776600037260067,0.6900829697856485,0.30991703021435146,116,116,1.0,944,0.22884488322883423,0.137791541205188,60,Q3
8dec77e08a8a,0.675805648386498,0.6204774383374456,0.732104503094011,0.8244105079936127,0.1755894920063873,92,116,0.7931034482758621,893,0.20312966724356177,0.13075619276219785,48,Q2
8e14085ada58,0.7640097102042012,0.7419893234819775,0.7916353460456461,0.6201133680795552,0.3798866319204448,116,116,1.0,974,0.1742559343226782,0.125,60,Q3
