column,non_missing,missing_pct,variance,drop_all_missing,drop_high_missing
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NRBC_P)",901,0.29937791601866254,0.0015287705019114564,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PCT)",901,0.29937791601866254,0.0026378962880749786,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PDW)",902,0.2986003110419907,3.695744304527093,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLCR)",901,0.29937791601866254,53.360189016319325,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLT)",901,0.29937791601866254,2899.247122127677,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RBC)",901,0.29937791601866254,0.12195481999424508,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDW)",901,0.29937791601866254,0.881832482426933,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDWSD)",901,0.29937791601866254,7.676608583055863,False,False
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (WBC)",901,0.29937791601866254,2.239443941053151,False,False
NLR,0,1.0,,True,True
Neu 10^3/uL,0,1.0,,True,True
Nr KG,1286,0.0,167933206.55241844,False,False
P/c antytyreoglobulinowe (anty-Tg) (ANTYTG2),682,0.46967340590979784,11207.59637155985,False,True
P/c przeciw GAD (p/c p. dekarbosylazie kwasu glutaminowego) (PCGAD),2,0.9984447900466563,0.0,False,True
P/c przeciw receptorowi TSH (TRAb) (O15) (TRAB),2,0.9984447900466563,17.34605,False,True
P/c przeciw receptorowi TSH (TRAb) (TRAB_2),5,0.9961119751166407,0.0037999999999999944,False,True
PLR,0,1.0,,True,True
PLT 10^3/uL,0,1.0,,True,True
PRL 10:00 i 10:00 po PEG (PRL10),1,0.9992223950233281,,False,True
PRL 10:00 i 10:00 po PEG (PRL10PEG),1,0.9992223950233281,,False,True
"PRL 10:00, 10:00 po PEG, 16:00 (PRL10)",25,0.9805598755832037,305.1967143333333,False,True
"PRL 10:00, 10:00 po PEG, 16:00 (PRL10PEG)",25,0.9805598755832037,306.20464099999987,False,True
"PRL 10:00, 10:00 po PEG, 16:00 (PRL16)",23,0.9821150855365475,169.444481027668,False,True
PRL godz. 10:00 (PRL10),1165,0.09409020217729394,32.67647183487456,False,False
PRL ng/ml,0,1.0,,True,True
Procent odzysku prolaktyny po precypitacji (MAKROPRL),14,0.9891135303265941,721.6014835164837,False,True
Protrombina (PT) (PTAKT),5,0.9961119751166407,52.3,False,True
Protrombina (PT) (PTCZAS),5,0.9961119751166407,0.4049999999999999,False,True
Protrombina (PT) (PTINR),5,0.9961119751166407,0.003629999999999994,False,True
Przyjęcie na oddział zlecający,0,1.0,,True,True
RDW %,0,1.0,,True,True
"RTG kości nadgarstka, PA, bok (nan)",0,1.0,,True,True
Rok KG,1286,0.0,3.649462333056986,False,False
SHBG (L_SHGB),1166,0.09331259720062209,977.381878828687,False,False
SHBG (SHGB),1,0.9992223950233281,,False,True
SHBG nmol/l,0,1.0,,True,True
TK jamy brzusznej i miednicy z kontrastem (nan),0,1.0,,True,True
TK jamy brzusznej z kontrastem (nan),0,1.0,,True,True
TSH (TSH),1168,0.09175738724727839,1.0543267296516063,False,False
TSH uIU/ml,0,1.0,,True,True
Test Roma (CA125),8,0.9937791601866252,29.228571428571424,False,True
Test Roma (HE4),10,0.9922239502332815,78.61377777777777,False,True
Test Roma (I41),2,0.9984447900466563,3.9199999999999973,False,True
Test Roma (POMENOP),8,0.9937791601866252,5.009769642857145,False,True
Test Roma (PRMENOP),8,0.9937791601866252,1.9933696428571428,False,True
Test Roma (ROMAPO),2,0.9984447900466563,9.245000000000003,False,True
Test Roma (ROMAPR),2,0.9984447900466563,11.52,False,True
Test z Synacthenem (L79_0),52,0.9595645412130638,1.0177177601809955,False,True
Test z Synacthenem (L79_1),54,0.9580093312597201,1.9596668413696716,False,True
Test z Synacthenem (L79_2),54,0.9580093312597201,2.1027503843466104,False,True
Testosteron (L_TESTOS),1167,0.09253499222395023,0.03731339611434224,False,False
Testosteron wolny (O41) (TEST-F),926,0.27993779160186627,5.462435701272546,False,False
Triglicerydy (TG),1169,0.09097978227060653,1887.3066493578403,False,False
USG brzucha i przestrzeni zaotrzewnowej (nan),0,1.0,,True,True
USG nadnerczy (nan),0,1.0,,True,True
USG piersi (nan),0,1.0,,True,True
USG tarczycy i przytarczyc (nan),0,1.0,,True,True
USG wątroby – elastografia (nan),0,1.0,,True,True
WBC 10^3/uL,0,1.0,,True,True
Wapń całkowity (TCAL),2,0.9984447900466563,0.28125,False,True
Wapń zjonizowany (surowica) (L_CAZJS),1,0.9992223950233281,,False,True
Witamina D (25- hydroksywitamina D3) (WITD),808,0.37169517884914466,121.46266741736908,False,False
Wolny testosteron (O41.W),189,0.8530326594090202,4.961370567375886,False,True
Wymaz z kanału szyjki macicy - posiew mykologiczny (DAT-ZAK),0,1.0,,True,True
Wymaz z kanału szyjki macicy - posiew mykologiczny (UWAGI),0,1.0,,True,True
Wymaz z kanału szyjki macicy - posiew mykologiczny (Wynik badania),0,1.0,,True,True
Wymaz z kanału szyjki macicy - posiew tlenowy (DAT-ZAK),0,1.0,,True,True
Wymaz z kanału szyjki macicy - posiew tlenowy (UWAGI),0,1.0,,True,True
Wymaz z kanału szyjki macicy - posiew tlenowy (Wynik badania),0,1.0,,True,True
Wypis z oddziału zlecającego,0,1.0,,True,True
beta HCG (L_HCG),21,0.9836702954898912,0.11107619047619048,False,True
glu 0' mg/dl,0,1.0,,True,True
insulina uU/ml,0,1.0,,True,True
kortyzol 8.00 ug/dl,0,1.0,,True,True
testosteron ng/ml,0,1.0,,True,True
Żelazo (FE),3,0.9976671850699844,977.5833333333333,False,True
