feature_removed,pipeline,seed,n_common,valid_solution,min_cluster_fraction,ari_after_removal,destabilization
AMH,median-zscore-none-kmeans,3,1286,True,0.2978227060653188,0.9968055137436942,0.0015972431281529031
AMH,median-zscore-none-kmeans,4,1286,True,0.2978227060653188,1.0,0.0
CORT_8,median-zscore-pca80-gmm,0,1286,True,0.33825816485225507,0.7859748792218457,0.10701256038907714
CORT_8,median-zscore-pca80-gmm,1,1286,True,0.33981337480559876,0.7860226316625554,0.10698868416872231
CORT_8,median-zscore-pca80-gmm,2,1286,True,0.33981337480559876,0.7860226316625554,0.10698868416872231
CORT_8,median-zscore-pca80-gmm,3,1286,True,0.33981337480559876,0.7860226316625554,0.10698868416872231
CORT_8,median-zscore-pca80-gmm,4,1286,True,0.33825816485225507,0.7859748792218457,0.10701256038907714
CORT_8,median-robust-pca80-gmm,0,1286,True,0.3942457231726283,0.9875632978789075,0.0062183510605462455
CORT_8,median-robust-pca80-gmm,1,1286,True,0.3942457231726283,0.9875632978789075,0.0062183510605462455
CORT_8,median-robust-pca80-gmm,2,1286,True,0.3942457231726283,0.9875632978789075,0.0062183510605462455
CORT_8,median-robust-pca80-gmm,3,1286,True,0.3942457231726283,0.9875632978789075,0.0062183510605462455
CORT_8,median-robust-pca80-gmm,4,1286,True,0.3942457231726283,0.9875632978789075,0.0062183510605462455
CORT_8,median-zscore-none-kmeans,0,1286,True,0.3001555209953344,0.9840904543396356,0.0079547728301822
CORT_8,median-zscore-none-kmeans,1,1286,True,0.3001555209953344,0.9809195504134788,0.00954022479326061
CORT_8,median-zscore-none-kmeans,2,1286,True,0.3001555209953344,0.9809195504134788,0.00954022479326061
CORT_8,median-zscore-none-kmeans,3,1286,True,0.29937791601866254,0.9777522666069594,0.011123866696520324
CORT_8,median-zscore-none-kmeans,4,1286,True,0.3001555209953344,0.9840839381003006,0.007958030949849704
CORT_23,median-zscore-pca80-gmm,0,1286,True,0.2838258164852255,0.7285397617075152,0.1357301191462424
CORT_23,median-zscore-pca80-gmm,1,1286,True,0.2838258164852255,0.7285397617075152,0.1357301191462424
CORT_23,median-zscore-pca80-gmm,2,1286,True,0.2838258164852255,0.7285397617075152,0.1357301191462424
CORT_23,median-zscore-pca80-gmm,3,1286,True,0.2838258164852255,0.7285397617075152,0.1357301191462424
CORT_23,median-zscore-pca80-gmm,4,1286,True,0.28304821150855364,0.7257773832148059,0.13711130839259705
CORT_23,median-robust-pca80-gmm,0,1286,True,0.3849144634525661,0.9446258698865503,0.027687065056724858
CORT_23,median-robust-pca80-gmm,1,1286,True,0.3849144634525661,0.9446258698865503,0.027687065056724858
CORT_23,median-robust-pca80-gmm,2,1286,True,0.3849144634525661,0.9446258698865503,0.027687065056724858
CORT_23,median-robust-pca80-gmm,3,1286,True,0.3849144634525661,0.9446258698865503,0.027687065056724858
CORT_23,median-robust-pca80-gmm,4,1286,True,0.3849144634525661,0.9446258698865503,0.027687065056724858
CORT_23,median-zscore-none-kmeans,0,1286,True,0.3001555209953344,0.9777614110386819,0.01111929448065907
CORT_23,median-zscore-none-kmeans,1,1286,True,0.30326594090202175,0.9746199378842002,0.012690031057899898
CORT_23,median-zscore-none-kmeans,2,1286,True,0.29937791601866254,0.9777522666069594,0.011123866696520324
CORT_23,median-zscore-none-kmeans,3,1286,True,0.30326594090202175,0.9746199378842002,0.012690031057899898
CORT_23,median-zscore-none-kmeans,4,1286,True,0.3001555209953344,0.9777523025467589,0.011123848726620533
TSH,median-zscore-pca80-gmm,0,1286,True,0.33048211508553654,0.8311482222790075,0.08442588886049623
TSH,median-zscore-pca80-gmm,1,1286,True,0.328149300155521,0.8282116926220714,0.0858941536889643
TSH,median-zscore-pca80-gmm,2,1286,True,0.328149300155521,0.8282116926220714,0.0858941536889643
TSH,median-zscore-pca80-gmm,3,1286,True,0.33048211508553654,0.8311482222790075,0.08442588886049623
TSH,median-zscore-pca80-gmm,4,1286,True,0.3273716951788491,0.8253192057314072,0.08734039713429642
TSH,median-robust-pca80-gmm,0,1286,True,0.39580093312597203,0.987564014367952,0.006217992816023976
TSH,median-robust-pca80-gmm,1,1286,True,0.39580093312597203,0.987564014367952,0.006217992816023976
TSH,median-robust-pca80-gmm,2,1286,True,0.39580093312597203,0.987564014367952,0.006217992816023976
